PULocationID,t1,t2,t3,t4,t5
24,10.0,38.5,42.42857142857143,36.333333333333336,18.8
41,20.666666666666668,54.333333333333336,54.476190476190474,45.0,24.333333333333336
42,9.333333333333334,25.166666666666668,18.666666666666664,12.5,6.6
43,19.5,115.33333333333333,290.4761904761905,180.16666666666666,77.0
48,241.66666666666666,204.83333333333334,318.85714285714283,369.6666666666667,331.0
50,67.70833333333333,110.83333333333333,105.95238095238095,86.33333333333333,63.733333333333334
74,22.666666666666668,40.0,43.095238095238095,37.166666666666664,20.733333333333334
75,28.208333333333332,87.0,86.14285714285714,68.66666666666667,36.733333333333334
116,7.666666666666667,12.5,10.714285714285714,6.666666666666667,6.466666666666667
140,37.541666666666664,118.33333333333333,181.66666666666669,160.0,81.46666666666667
141,91.08333333333333,189.16666666666666,327.57142857142856,273.3333333333333,155.73333333333332
142,73.33333333333333,193.66666666666666,425.9047619047619,549.5,236.8
143,20.5,119.16666666666667,180.0952380952381,140.33333333333334,60.53333333333334
151,20.958333333333332,98.16666666666667,160.80952380952382,114.16666666666667,51.2
152,5.291666666666667,6.666666666666667,9.19047619047619,9.333333333333334,4.6
161,84.66666666666667,173.33333333333334,454.38095238095235,481.5,244.53333333333336
162,69.16666666666667,178.0,333.9047619047619,369.1666666666667,197.66666666666669
163,99.75,157.16666666666666,344.4761904761905,336.5,208.8
166,15.791666666666666,41.5,60.904761904761905,57.333333333333336,31.26666666666667
229,69.04166666666667,135.33333333333334,225.52380952380955,183.33333333333334,117.13333333333333
230,189.0,250.5,398.42857142857144,457.3333333333333,361.8666666666667
236,50.041666666666664,279.3333333333333,550.7142857142857,440.0,183.13333333333333
237,74.91666666666667,223.33333333333334,560.3333333333334,532.8333333333334,235.4
238,46.666666666666664,232.66666666666666,302.0476190476191,247.5,108.66666666666667
239,64.75,236.83333333333334,472.1904761904762,373.8333333333333,174.06666666666666
262,23.541666666666668,139.16666666666666,180.28571428571428,119.83333333333333,43.6
263,90.25,161.0,260.14285714285717,220.83333333333334,124.4
